zip,province,building_type,bedroom,construction_Year,price,heating_type,land_surface
2350,Antwerp,HOUSE,5,1995,685000,GAS,831
2580,Antwerp,HOUSE,5,1979,499000,FUELOIL,2000
2100,Antwerp,HOUSE,7,1930,1150000,GAS,589
2300,Antwerp,HOUSE,3,1989,399000,GAS,295
2900,Antwerp,HOUSE,3,2022,622542,GAS,427
2450,Antwerp,HOUSE,3,2022,326000,GAS,306
2300,Antwerp,HOUSE,3,1992,289500,GAS,181
2450,Antwerp,HOUSE,3,2022,316000,GAS,285
2100,Antwerp,HOUSE,2,1931,225000,GAS,100
2950,Antwerp,HOUSE,6,2011,4875000,GAS,7823
2550,Antwerp,HOUSE,4,1978,589900,GAS,794
2950,Antwerp,HOUSE,4,1970,295000,GAS,180
2170,Antwerp,HOUSE,5,1939,365000,GAS,75
2520,Antwerp,HOUSE,3,1965,750000,FUELOIL,2083
2640,Antwerp,HOUSE,6,1955,499000,ELECTRIC,519
2870,Antwerp,HOUSE,3,1960,305000,GAS,250
2950,Antwerp,HOUSE,3,1956,455000,FUELOIL,1113
2640,Antwerp,HOUSE,3,1950,996000,GAS,675
2350,Antwerp,HOUSE,3,1978,369000,GAS,625
2170,Antwerp,HOUSE,3,1962,359000,GAS,168
2020,Antwerp,HOUSE,4,1902,645000,GAS,629
