Unnamed: 0,classified_id,classified_type,classified_price,classified_zip,classified_kitchen_type,classified_building_constructionYear,classified_building_condition,classified_energy_heatingType,classified_certificates_primaryEnergyConsumptionLevel,classified_bedroom_count,classified_land_surface,classified_outdoor_terrace_exists,customer_id
10526,10134608.0,apartment,477000,1435.0,usahyperequipped,2022.0,asnew,gas,0.0,3.0,0.0,True,2939019.0
10528,10148871.0,apartment,259000,1600.0,usahyperequipped,1987.0,justrenovated,electric,414.0,2.0,0.0,0,3826086.0
10530,10136631.0,apartment,28000,6200.0,installed,0.0,good,gas,417.0,1.0,0.0,0,2258636.0
10535,10077200.0,apartment,189000,1070.0,installed,1970.0,good,gas,0.0,1.0,0.0,True,1306479.0
10536,10104099.0,apartment,225000,1083.0,usainstalled,1965.0,good,gas,220.0,2.0,0.0,0,1306479.0
10537,10112065.0,apartment,300000,1200.0,usainstalled,1991.0,good,gas,183.0,2.0,0.0,0,3488269.0
10538,10101344.0,apartment,345000,1180.0,semiequipped,1967.0,tobedoneup,gas,158.0,2.0,0.0,True,2142301.0
10541,10102066.0,apartment,120000,7500.0,0,0.0,good,gas,398.0,1.0,0.0,0,92471.0
10544,9299048.0,apartment,80000,8370.0,0,1999.0,good,electric,246.0,1.0,0.0,0,1864.0
10549,9976011.0,apartment,125000,7700.0,semiequipped,0.0,tobedoneup,gas,475.0,2.0,0.0,0,1214934.0
10550,9945713.0,apartment,126000,8620.0,0,1976.0,asnew,electric,251.0,1.0,0.0,True,2997026.0
10552,10075211.0,apartment,165000,1060.0,0,1933.0,tobedoneup,gas,0.0,1.0,0.0,0,2679386.0
10553,9843764.0,apartment,165000,2100.0,installed,1936.0,good,gas,203.0,2.0,0.0,0,3333136.0
10555,9864873.0,apartment,179000,9200.0,0,2007.0,asnew,gas,200.0,1.0,0.0,True,36717.0
10557,10158332.0,house,249000,8792.0,semiequipped,0.0,good,gas,427.0,3.0,516.0,0,2289068.0
10560,10094199.0,house,159000,2620.0,installed,1972.0,good,gas,338.0,3.0,69.0,0,1274842.0
10563,10158302.0,apartment,230000,2018.0,installed,2018.0,asnew,gas,77.0,1.0,0.0,True,2246999.0
10564,10051672.0,apartment,179000,9200.0,0,2007.0,asnew,gas,200.0,1.0,0.0,True,36717.0
10568,9785042.0,apartment,185000,9620.0,installed,0.0,justrenovated,gas,180.0,1.0,0.0,0,3840136.0
10575,10092329.0,apartment,199000,9900.0,installed,0.0,good,electric,193.0,2.0,0.0,0,2126895.0
10577,10040499.0,apartment,215000,9910.0,0,0.0,asnew,gas,317.0,1.0,0.0,0,2100865.0
10580,10116799.0,apartment,219000,8670.0,0,0.0,asnew,gas,146.0,2.0,0.0,True,7039.0
10583,10125832.0,apartment,225000,8620.0,0,1970.0,asnew,gas,134.0,1.0,0.0,True,2997026.0
10586,9935232.0,apartment,229000,2560.0,installed,1976.0,justrenovated,gas,229.0,2.0,0.0,0,3333136.0
10591,10110282.0,apartment,230000,9000.0,0,0.0,good,gas,591.0,2.0,0.0,0,1739.0
10592,9973112.0,apartment,238000,6700.0,installed,2005.0,good,gas,142.0,2.0,0.0,True,3750696.0
10595,10158332.0,house,249000,8792.0,semiequipped,0.0,good,gas,427.0,3.0,516.0,0,2289068.0
10598,10094199.0,house,159000,2620.0,installed,1972.0,good,gas,338.0,3.0,69.0,0,1274842.0
10601,10158302.0,apartment,230000,2018.0,installed,2018.0,asnew,gas,77.0,1.0,0.0,True,2246999.0
10602,10022367.0,apartment,241900,6000.0,usauninstalled,2022.0,asnew,electric,0.0,2.0,0.0,True,2268429.0
10630,10061417.0,apartment,360000,1190.0,hyperequipped,2011.0,asnew,gas,0.0,3.0,0.0,True,2289047.0
10633,10158332.0,house,249000,8792.0,semiequipped,0.0,good,gas,427.0,3.0,516.0,0,2289068.0
10636,10094199.0,house,159000,2620.0,installed,1972.0,good,gas,338.0,3.0,69.0,0,1274842.0
10639,10158302.0,apartment,230000,2018.0,installed,2018.0,asnew,gas,77.0,1.0,0.0,True,2246999.0
10643,10095072.0,apartment,395000,1000.0,usahyperequipped,1900.0,justrenovated,gas,145.0,2.0,0.0,True,3467306.0
10644,10032371.0,apartment,395000,1000.0,usahyperequipped,1900.0,justrenovated,gas,145.0,2.0,0.0,True,1110748.0
10647,10094463.0,apartment,395000,4000.0,hyperequipped,0.0,asnew,gas,0.0,4.0,0.0,True,2654558.0
10648,10064367.0,apartment,420000,9000.0,installed,0.0,asnew,gas,333.0,1.0,0.0,0,1915103.0
10649,10058253.0,apartment,425000,8300.0,hyperequipped,2015.0,asnew,gas,0.0,2.0,0.0,0,3878461.0
10650,10028803.0,apartment,425000,8300.0,0,2015.0,asnew,gas,0.0,2.0,0.0,True,546282.0
10651,10109684.0,apartment,440000,1060.0,0,0.0,torestore,gas,253.0,2.0,0.0,True,98054.0
10652,10045495.0,apartment,445000,2000.0,0,0.0,good,gas,93.0,2.0,0.0,True,3423211.0
10660,10099237.0,apartment,749000,2070.0,0,0.0,asnew,gas,199.0,2.0,0.0,True,3709747.0
10672,10158411.0,apartment,139000,8420.0,installed,0.0,good,gas,436.0,2.0,0.0,0,2592846.0
10674,10158405.0,house,109000,8530.0,installed,1919.0,tobedoneup,gas,538.0,2.0,126.0,0,2148942.0
10685,10145830.0,apartment,155000,7000.0,installed,1997.0,good,electric,313.0,1.0,0.0,0,3859544.0
10686,10028413.0,apartment,170000,1420.0,installed,1990.0,good,gas,333.0,1.0,0.0,0,1267919.0
10687,10145634.0,apartment,275000,1050.0,hyperequipped,0.0,asnew,gas,324.0,1.0,0.0,0,851839.0
10689,10132488.0,apartment,129000,1210.0,semiequipped,0.0,good,gas,167.0,1.0,0.0,0,3826086.0
10690,10132487.0,apartment,149000,1080.0,semiequipped,0.0,tobedoneup,gas,205.0,0.0,0.0,True,3826086.0
10691,10105374.0,apartment,239000,1850.0,hyperequipped,0.0,asnew,gas,128.0,3.0,0.0,0,3826315.0
10705,10116533.0,apartment,204750,8930.0,installed,0.0,good,gas,0.0,2.0,0.0,True,2556631.0
10710,10158411.0,apartment,139000,8420.0,installed,0.0,good,gas,436.0,2.0,0.0,0,2592846.0
10712,10158405.0,house,109000,8530.0,installed,1919.0,tobedoneup,gas,538.0,2.0,126.0,0,2148942.0
10719,10140256.0,apartment,245000,8730.0,0,0.0,asnew,gas,154.0,2.0,0.0,0,2100865.0
10721,10109707.0,apartment,261000,1340.0,hyperequipped,0.0,asnew,gas,0.0,1.0,0.0,True,1749739.0
